Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Darius Lewis\darius-lewis-1,JR,2015-16,C,Duquesne,A-10,34,692,14.1,0.583,0.587,8.2,21.2,15,5.3,0.6,6.6,22.6,16.6,216,102.2,102.9,0.6,0.9,1.5,-3.1,3,-0.1
Wendell Lewis\wendell-lewis-1,SR,2012-13,C,Mississippi State,SEC,8,168,19.2,0.63,0.568,9.5,18.7,13.9,9.6,1,1.9,18.9,19.2,61,113.3,103.5,0.4,0.2,0.6,0.2,-0.3,-0.1
Conner Lipinski\conner-lipinski-1,FR,2012-13,G,Maryland,ACC,8,12,20.7,0.909,1.5,0,0,0,14.8,0,0,34.2,24.4,6,117.5,108.9,0,0,0,6.4,-6.5,-0.1
Tyler Livingston\tyler-livingston-1,SR,2016-17,F,Massachusetts-Lowell,AEC,31,999,16.6,0.638,0.63,4.8,11.9,8.4,9.7,1,1.4,10.9,17.6,367,122.9,113.1,2.5,0.4,2.9,2.9,-3,-0.1
Jesse Lopez\jesse-lopez-1,SO,2015-16,F,Sam Houston State,Southland,21,98,18.1,0.639,0.588,13.1,14.7,13.9,3.7,1.2,3.8,8.1,12.4,31,139.7,102.4,0.3,0.1,0.4,0,-0.1,-0.1
Kenneth Lowe\kenneth-lowe-1,SO,2014-15,F,Green Bay,Horizon,33,638,8.5,0.49,0.522,5.4,10.1,7.8,6.8,1.7,3.3,21.5,11.8,115,91.2,96.3,0,1.2,1.2,-3.4,3.3,-0.1
Mike Lukashewich\mike-lukashewich-1,FR,2014-15,G,Minnesota,Big Ten,3,9,-2,,,0,0,0,0,0,13,100,5.6,0,0,107,0,0,0,-9,8.9,-0.1
Stephen Lumpkins\stephen-lumpkins-1,SR,2012-13,F,American,Patriot,30,1000,22.8,0.531,0.469,10,28.2,18.7,12.4,1.1,3.7,15.2,27.7,419,104.5,101.8,2.1,1.1,3.3,-0.4,0.4,-0.1
Denzel Mahoney\denzel-mahoney-1,FR,2016-17,G,Southeast Missouri State,OVC,33,976,19.5,0.593,0.532,5.6,12.1,8.7,8.5,1.3,0.5,9.8,24,457,119.1,109.7,2.9,0.7,3.6,3,-3,-0.1
Rafael Maia\rafael-maia-1,JR,2013-14,C,Brown,Ivy,22,599,16.2,0.516,0.494,13.5,17.6,15.6,8.7,1.8,1,18.6,20.5,224,102,95.8,0.6,1.3,1.9,-1.4,1.3,-0.1
