Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Julius Brown\julius-brown-2,JR,2013-14,G,Toledo,MAC,34,1145,18.8,0.555,0.494,1,6.6,3.8,33.4,2,0.4,17.1,23.8,536,114,110.6,2.8,0.8,3.7,3.8,-3.5,0.3
Chris Burgess\chris-burgess-3,SR,2015-16,G,Appalachian State,Sun Belt,31,653,13,0.573,0.544,1.6,4.5,3,22,1.2,0,12.6,15.7,215,120.6,115,1.4,0.1,1.6,2.5,-3.5,-1
Jenirro Bush\jenirro-bush-1,SR,2011-12,G,Jackson State,SWAC,18,577,17.7,0.471,0.43,3,16.5,9.2,8.2,3.6,1,13.2,31.7,246,93.6,100.3,0.4,0.8,1.2,-1.8,-3.5,-5.2
Will Campbell\will-campbell-2,SR,2011-12,G,Monmouth,NEC,29,466,11.7,0.498,0.478,3.2,12.8,7.3,11,1.6,0.8,14.7,21.8,157,95.3,111.9,0.3,0.1,0.4,-1.8,-3.5,-5.3
Justin Cheek\justin-cheek-1,SO,2011-12,G,High Point,Big South,28,433,7.9,0.517,0.489,3.6,9.3,6.3,5.9,1.3,0.5,20.7,16.4,105,93.8,111.9,0.2,0.1,0.3,-2.7,-3.5,-6.2
Devin Cherry\devin-cherry-1,SO,2012-13,G,Cornell,Ivy,27,429,9.3,0.473,0.447,2.1,16.7,8.7,16.3,1.4,0.3,22.4,27.6,159,82.8,108.1,-0.3,0.2,-0.1,-4.7,-3.5,-8.2
Wes Cole\wes-cole-1,JR,2013-14,G,Hartford,AEC,33,797,14.8,0.626,0.613,1.9,6,4,7.3,1.5,0.1,10.6,18.7,248,115.8,108.9,1.5,0.7,2.2,2.7,-3.5,-0.8
Armani Collins\armani-collins-1,JR,2017-18,G,Bethune-Cookman,MEAC,21,264,4.8,0.359,0.335,4.2,11.6,7.8,6.4,1,2.5,9.8,18.8,72,83.7,104.5,-0.2,0.3,0.2,-5.6,-3.5,-9.1
Justin Colvin\justin-colvin-1,JR,2014-15,G,Alabama A&M,SWAC,28,502,9.7,0.467,0.438,2.7,8.7,5.6,14.5,1.9,0.6,14.6,19.1,141,96.6,108.5,0.3,0.3,0.6,-2.3,-3.5,-5.8
Chase Cormier\chase-comier-1,SO,2014-15,G,Grambling,SWAC,23,676,5.6,0.385,0.301,1.9,10.2,6,27.9,2.4,0,29,15.7,134,74.1,111.6,-0.8,0.3,-0.6,-7.1,-3.5,-10.6
Max Curran\max-curran-1,SO,2017-18,F,Maryland-Baltimore County,AEC,21,257,11.1,0.481,0.477,7.7,22.1,14.7,3,0.2,2.8,12.2,22.5,89,95.1,102.3,0.1,0.4,0.5,-5,-3.5,-8.6
Will Darley\will-darley-1,JR,2015-16,G,Maryland-Baltimore County,AEC,30,886,16.4,0.615,0.586,2.2,15.7,8.7,13.8,1.1,1.1,16.2,19.8,327,111,115.7,1.6,0.1,1.7,0.4,-3.5,-3.1
John Davis\john-davis-4,SO,2014-15,F,Towson,CAA,32,820,21.9,0.507,0.469,13.5,23.4,18.4,3.1,0.6,2.3,12.7,27.3,354,107.2,102.1,1.8,1.1,2.9,-2,-3.5,-5.5
Shamir Davis\shamir-davis-1,SR,2012-13,G,Northwestern State,Southland,32,810,16.6,0.535,0.465,2.7,6,4.3,14.6,1.7,0,13.5,23.7,373,110.1,104.1,1.9,0.8,2.7,1.1,-3.5,-2.3
Javon Dawson\javon-dawson-1,SR,2013-14,F,Jacksonville,A-Sun,27,792,11.9,0.486,0.459,7.4,19.5,13.2,6,1.4,0.4,16,18.3,242,97,113.2,0.3,0.4,0.7,-3.7,-3.5,-7.2
Zach Dickerson\zach-dickerson-1,FR,2013-14,G,Eastern Illinois,OVC,28,529,4.4,0.529,0.493,0.5,7.6,3.9,13.2,0.6,0.6,28.3,10.8,88,90.6,117.9,0,0,0,-4.7,-3.5,-8.2
Jared Dimakos\jared-dimakos-1,SO,2013-14,G,Chicago State,WAC,27,256,7.2,0.505,0.53,3.3,7.6,5.3,4.6,1.3,0.5,14,14.1,58,96.2,113.3,0.1,0.1,0.2,-4,-3.5,-7.5
Chad Donley\chad-donley-1,SO,2012-13,G,Liberty,Big South,31,287,11.8,0.479,0.471,1.6,7.4,4.5,13.3,2.7,0.4,9.9,18.3,82,101.2,107.4,0.3,0.2,0.5,0.1,-3.5,-3.4
Eric Eaves\eric-eaves-1,JR,2015-16,G,South Carolina State,MEAC,34,961,24.3,0.613,0.556,3.1,8.4,5.8,15.4,1.6,0.9,13.9,29.8,544,116.6,110,3.3,0.7,3.9,3.2,-3.5,-0.3
Richie Edwards\richie-edwards-1,JR,2011-12,F,Valparaiso,Horizon,30,534,20.3,0.579,0.534,8.8,13.8,11.4,6.8,1.2,1.2,14.1,29.1,250,108.1,103.8,1.3,0.5,1.9,0.6,-3.5,-2.9
Hayden Farquhar\hayden-farquhar-1,FR,2015-16,F,Abilene Christian,Southland,30,250,9.2,0.483,0.493,6.8,17.7,12.1,8.1,1.6,0.4,17.8,19.7,75,90.3,106.1,0,0.3,0.2,-5.1,-3.5,-8.6
Julius Francis\julius-francis-1,SR,2013-14,C,Mississippi Valley State,SWAC,31,447,4.9,0.398,0.357,4.1,20.8,11.8,3,0.6,2.1,16.7,18.2,111,78.1,110.2,-0.5,0.3,-0.2,-10.2,-3.5,-13.6
Branden Frazier\branden-frazier-1,FR,2010-11,G,Fordham,A-10,27,931,10.5,0.501,0.479,1.7,6.2,3.9,20.5,1.1,0.2,18.6,19.4,294,97.9,114.9,0.7,0,0.7,0.6,-3.5,-2.9
Raul Frias\raul-frias-1,JR,2017-18,G,Long Island University,NEC,28,306,9.5,0.484,0.477,4.4,10.5,7.5,6.9,1.1,1,10.1,15.4,84,103.9,109.9,0.3,0.2,0.5,-1.7,-3.5,-5.2
Nick Garth\nick-garth-1,JR,2017-18,G,Lamar,Southland,28,749,17.2,0.581,0.539,1.8,8.2,4.8,14,1.3,0,10.4,22,323,119.2,102.6,2,1.1,3.1,2.9,-3.5,-0.6
Rodney Glasgow\rodney-glasgow-1,SR,2013-14,G,Virginia Military Institute,Big South,35,1291,23,0.608,0.569,2.4,8.1,5.2,27.3,1.9,0,10.3,20.9,676,131.7,111.8,5.1,0.8,5.9,5.2,-3.5,1.7
Jameel Grace\jameel-grace-1,SO,2010-11,G,Southern,SWAC,25,688,8.7,0.43,0.404,0.6,9,4.8,31.6,2.8,0.3,25.3,19.8,189,80.4,106.5,-0.6,0.6,-0.1,-4.7,-3.5,-8.2
Jimmy Gray\jimmy-gray-1,SO,2010-11,G,Binghamton,AEC,31,863,10.4,0.5,0.473,1.9,5.9,3.9,18.7,2.2,0.4,19.7,16.3,211,97.1,114.5,0.5,0,0.6,-1.6,-3.5,-5.1
Johnathan Gray\johnathan-gray-1,SR,2012-13,G,Cornell,Ivy,25,621,14.9,0.543,0.531,3.5,13.1,7.8,8.9,1.2,1.3,13.8,22.4,223,102.8,109.4,0.9,0.3,1.2,1.7,-3.5,-1.8
Jordan Gregory\jordan-gregory-1,SR,2014-15,G,Montana,Big Sky,33,1189,18.9,0.551,0.502,2,10.1,6.1,19.7,1.1,0.1,12.1,27.3,540,111.7,108.4,3.2,0.8,4,2.3,-3.5,-1.2
Terence Grier\terence-grier-1,SR,2010-11,G,Fairleigh Dickinson,NEC,22,625,14.5,0.464,0.46,3.4,6.8,5.1,19.3,2,0.5,12.1,26.4,248,94.8,110.7,0.4,0.3,0.7,-1.3,-3.5,-4.8
Paris Gulley\paris-gulley-1,SR,2012-13,G,Milwaukee,Horizon,26,963,13.5,0.5,0.454,2.4,9.7,5.7,10.7,1.3,0,11.4,23.3,346,100.5,112,1.2,0.2,1.4,0,-3.5,-3.4
Matt Harris\matt-harris-1,FR,2014-15,G,Massachusetts-Lowell,AEC,26,534,16.6,0.566,0.543,2.3,9.2,5.6,10,2,0.5,10.6,23.7,199,106.2,104.8,0.9,0.6,1.5,1.7,-3.5,-1.8
James Harvey\james-harvey-3,SO,2016-17,G,McNeese State,Southland,29,712,8.4,0.479,0.453,1.3,5.8,3.5,5.3,1.5,0.4,12.2,20.3,221,92,114,0,0.2,0.3,-2,-3.5,-5.5
JaMichael Hawkins\jamichael-hawkins-1,SR,2015-16,G,Southeastern Louisiana,Southland,33,787,11.9,0.581,0.558,0.7,6.6,3.8,9,1.7,0.3,14.9,18.6,249,106.3,111.1,0.9,0.5,1.4,0.4,-3.5,-3.1
Davon Hayes\davon-hayes-1,FR,2014-15,G,Southern Mississippi,CUSA,22,307,8.2,0.496,0.456,2.1,10.2,6.2,12,1.7,0.8,22.8,22.4,89,85.6,110.4,-0.1,0.2,0,-4.5,-3.5,-8
Dakarai Henderson\dakarai-henderson-1,JR,2015-16,G,Sam Houston State,Southland,32,953,14,0.505,0.475,2.9,8.2,5.4,10.2,1.1,0.3,8.5,25.5,395,103.3,106.7,1.3,1,2.2,-0.2,-3.5,-3.7
Fred Hinnenkamp\fred-hinnenkamp-1,SR,2010-11,F,Houston Baptist,GWC,31,616,8.4,0.484,0.465,3.7,8.5,6,7.9,0.6,2.1,13.2,16.1,166,97.2,111.5,0.4,0.2,0.6,-3.8,-3.5,-7.3
Anthony Humpty Hitchens\anthony-humpty-hitchens-1,SR,2011-12,G,James Madison,CAA,30,1095,14.8,0.546,0.532,1.1,6.9,3.8,23.3,2.2,0.1,17.8,24,424,101.3,110.4,1.5,0.4,1.9,2.1,-3.5,-1.4
JR Hobbie\norman-hobbie-1,FR,2013-14,G,Brown,Ivy,27,409,12.1,0.63,0.612,0.3,5,2.7,4.4,0.4,0,9.8,17.3,128,119.2,105.4,0.8,0.5,1.3,2.1,-3.5,-1.4
